Topology_Type	Latency_ms	Throughput_Mbps	Bandwidth_Mbps	Jitter_ms	Packet_Loss_%	Num_Nodes	Num_Links	Network_Traffic_Load_Mbps	QoS_Score
Hybrid	63.12538052002997	472.4440589538171	928.3304613814478	0.7528274476742591	0.7903454224731643	17	70	49.3972508127997	1100.9385730406057
Bus	64.00665369459756	845.3526027755111	630.435106746217	43.619541334893036	5.026111727891141	38	60	398.7563436807156	1178.9725647173095
Mesh	56.52752334682814	505.2994935787641	471.9697527220172	4.652614131219057	1.4404563166572082	23	95	315.1761568762836	1118.2112157323252
Bus	147.72841107489657	39.06270503866652	214.52217972089443	32.35473059899837	5.752391438288143	9	95	442.83689391019385	618.0185200881612
Bus	53.2954008299115	541.2042789447149	740.9857248185879	45.946091397456556	4.496154761550849	32	87	168.25377334186538	1050.130653100841
Bus	24.296397857279253	456.7177644985944	444.9183084129564	37.51476412935478	2.047932005606674	18	27	347.2293054979922	1103.0146202846397
Ring	125.993803956182	949.4978249964024	435.8957945232031	36.33473634338021	5.807970329047903	19	58	186.34204832871876	1110.179496780288
Hybrid	40.888515160914366	874.6609849844556	816.7392190313051	34.33384957359312	5.2077701550887685	25	47	456.1524047486817	1251.9749862591216
Ring	101.74879338909615	733.7216013159634	913.7785934650179	17.163969197597247	8.072999235179989	9	34	486.1303734232457	1056.8872677315935
Ring	59.62338553882558	525.0264667888123	849.8736496578966	49.782610238893675	5.439260024227809	7	26	153.91524459006297	1014.1999467161363
Ring	134.23421991558365	160.5384342311228	213.23322906816944	39.070542528404005	3.6096852606249072	15	28	287.075708993399	717.0981108855391
Mesh	188.8396631018442	27.169783954933795	738.9674867323372	29.530312833817966	3.319415241753576	9	61	235.44347351548896	558.4159441055158
Mesh	68.85138877933913	907.1774327867947	644.8844888475195	12.09700937389256	1.1732818575268877	22	42	494.10684899148924	1286.0076061986115
Bus	164.6144840802129	448.48276947235235	149.86079155362546	17.311575883208935	1.011290862823816	48	8	460.6215875785081	858.9321441226989
Hybrid	105.98204455031942	571.5399713937692	271.2418354223301	41.432203745227	8.062437518069569	25	63	328.97520717645517	931.0332157977095
Hybrid	52.77889980672814	937.015475793065	895.5480572740526	16.88822883554274	2.165365009643203	20	55	157.20044054491254	1315.9639449333301
Ring	131.30857102558383	699.8003770053543	508.4042115011088	42.83830323382292	0.9675281696664406	39	28	491.89529253383233	1013.3503099041106
Ring	27.071779683601818	929.5260251009622	874.210620523608	32.31112626208205	8.12481938740851	26	23	25.71656682341811	1280.9045699160692
Star	124.00064613167548	541.7079083723423	260.81820946454053	19.32680302022323	7.514110638802453	21	88	449.6355778132055	918.7213510044608
Bus	24.177077671771116	146.6530115577822	650.6582831771332	7.444295665184153	7.444555417974348	7	66	370.7678550405742	939.3603527578292
Mesh	25.006758725702873	539.8819659106464	438.5214127562292	37.147765987487745	7.752560757547068	24	89	484.1529593470657	1086.6802089472153
Mesh	116.36460996650834	938.9812658910798	77.46296072056784	30.30806521450612	4.713173979224106	47	73	82.63696500709807	1144.167575398523
Hybrid	159.24919668387676	365.4404009323211	797.1079406474686	2.7320974652171923	3.8719718324294594	15	59	377.52978338496655	821.4039425762867
Star	195.1239875992149	519.4947596351783	760.406234465056	31.5572465588447	5.066199912500641	20	31	408.53206138347883	771.5015356558858
Hybrid	188.72059728596463	753.6852447069662	365.0828039422037	38.7775509769134	8.084194079404476	24	42	420.7240948502362	860.3931605221389
Bus	86.9513526673964	825.122859162667	31.776621782879246	41.09973669674461	8.482969185939853	16	58	277.8367430047766	1092.1794273420253
Star	154.76581049440477	941.5219114497644	751.3439050876392	7.668677624695314	4.743489303177588	47	87	357.31153903849724	1102.2914252672538
Star	157.94905717004858	107.03224722877998	972.0568489374285	15.885587240178106	1.6436377622738096	42	76	70.03388525102491	697.3532507912877
Star	26.880404826625035	182.64127493675812	492.0948675853712	47.588022272986755	4.838478973336762	34	71	319.85948982875067	917.7930046722813
Bus	72.97894160454923	538.71595894443	92.5052511450592	46.33148274764548	2.572281128545628	38	21	438.44610910920915	1028.180060856192
Hybrid	148.05454108276092	102.03344380834994	932.9889872154853	9.897625965151363	5.908242121352477	13	11	444.9868097177707	680.9787795774014
Mesh	112.25879594878072	648.8098712296476	184.45976251439492	27.107518114633056	6.178192133745033	43	48	206.48917960619724	997.4441452078624
Ring	70.0072441010751	270.6466150576392	801.2825948291705	22.967812081479366	9.322243544001603	48	15	292.56475277450704	867.6346657644344
